label,category,cluster,dm,text,id,seq_len,hfer_25
1,mhs_radical,1,7.195138256238526,,,1,0.44118353724479675
1,mhs_radical,1,6.489192210849472,,,1,0.45385798811912537
1,mhs_radical,1,7.312069017014142,,,1,0.45446154475212097
1,mhs_radical,1,6.515357194136338,,,1,0.4651321470737457
1,mhs_radical,1,6.282301818586194,,,1,0.4589883089065552
1,mhs_radical,0,11.323048381845377,,,1,0.06988970190286636
1,mhs_radical,0,12.09636745306095,,,1,0.12123283743858337
1,mhs_radical,1,7.650644149268154,,,1,0.46839621663093567
1,mhs_radical,1,5.754407302582858,,,1,0.44492802023887634
1,mhs_radical,0,11.129927522998003,,,1,0.06189097464084625
1,mhs_radical,0,14.653750156912174,,,1,0.09767986088991165
1,mhs_radical,0,10.371516118612721,,,1,0.05966072157025337
1,mhs_radical,1,5.292000887688113,,,1,0.44004908204078674
1,mhs_radical,1,6.04869260538383,,,1,0.44957345724105835
1,mhs_radical,1,5.413684700926574,,,1,0.4270659387111664
1,mhs_radical,1,5.206575686233577,,,1,0.44080865383148193
1,mhs_radical,1,7.328539038125651,,,1,0.44925516843795776
1,mhs_radical,1,5.754407302582858,,,1,0.44492802023887634
1,mhs_radical,0,12.28028614090344,,,1,0.05590084567666054
1,mhs_radical,0,14.879441947267013,,,1,0.05557846650481224
1,mhs_radical,1,7.392004886887479,,,1,0.46619874238967896
1,mhs_radical,1,6.7106118371703625,,,1,0.457295298576355
1,mhs_radical,1,6.450414406043279,,,1,0.4626547694206238
1,mhs_radical,1,8.109073968888243,,,1,0.4536890685558319
1,mhs_radical,0,10.742091956007148,,,1,0.06861550360918045
1,mhs_radical,1,6.850444555713524,,,1,0.4572402834892273
1,mhs_radical,1,6.850444555713524,,,1,0.4572402834892273
1,mhs_radical,1,5.18391148273562,,,1,0.44237416982650757
1,mhs_radical,0,12.812646042084394,,,1,0.09422928094863892
1,mhs_radical,1,6.7477241546096,,,1,0.4674001932144165
1,mhs_radical,0,11.178408276767115,,,1,0.09614554047584534
1,mhs_radical,0,10.567414488357986,,,1,0.05734964460134506
1,mhs_radical,1,7.195138256238526,,,1,0.44118353724479675
